"Identifier","geslacht","leeftijd","LR","analist","oogkleur"
"A112","M",26,"R","5609","groen"
"A112","M",26,"L","8705","groen"
"A112","M",26,"R","8705","groen"
"A113","M",19,"L","9308","blauw"
"A113","M",19,"R","9308","blauw"
"A113","M",19,"L","2193","blauw"
"A113","M",19,"R","2193","blauw"
"A113","M",19,"L","5609","blauw"
"A113","M",19,"R","5609","blauw"
"A113","M",19,"L","8705","blauw"
"A113","M",19,"R","8705","blauw"
"A114","M",22,"L","9308","blauw"
"A114","M",22,"R","9308","blauw"
"A114","M",22,"L","2193","blauw"
"A114","M",22,"R","2193","blauw"
"A114","M",22,"L","5609","blauw"
"A114","M",22,"R","5609","blauw"
"A114","M",22,"L","8705","blauw"
"A114","M",22,"R","8705","blauw"
"A115","M",26,"L","9308","bruin"
"A115","M",26,"R","9308","bruin"
"A115","M",26,"L","2193","bruin"
"A115","M",26,"R","2193","bruin"
"A115","M",26,"L","5609","bruin"
"A115","M",26,"R","5609","bruin"
"A115","M",26,"L","8705","bruin"
"A115","M",26,"R","8705","bruin"
"A116","M",24,"L","9308","blauw"
"A116","M",24,"R","9308","blauw"
"A116","M",24,"L","2193","blauw"
"A116","M",24,"R","2193","blauw"
"A116","M",24,"L","5609","blauw"
"A116","M",24,"R","5609","blauw"
"A116","M",24,"L","8705","blauw"
"A116","M",24,"R","8705","blauw"
"A117","M",25,"L","9308","blauw"
"A117","M",25,"R","9308","blauw"
"A117","M",25,"L","2193","blauw"
"A117","M",25,"R","2193","blauw"
"A117","M",25,"L","5609","hazel"
"A117","M",25,"R","5609","hazel"
"A117","M",25,"L","8705","groen"
"A117","M",25,"R","8705","groen"
"A118","M",22,"L","9308","bruin"
"A118","M",22,"R","9308","bruin"
"A118","M",22,"L","2193","bruin"
"A118","M",22,"R","2193","bruin"
"A118","M",22,"L","5609","bruin"
"A118","M",22,"R","5609","bruin"
"A118","M",22,"L","8705","hazel"
"A118","M",22,"R","8705","hazel"
"A119","M",18,"L","9308","bruin"
"A119","M",18,"R","9308","bruin"
"A119","M",18,"L","2193","bruin"
"A119","M",18,"R","2193","bruin"
"A119","M",18,"L","5609","bruin"
"A119","M",18,"R","5609","bruin"
"A119","M",18,"L","8705","bruin"
"A119","M",18,"R","8705","bruin"
"A120","M",16,"L","9308","bruin"
"A120","M",16,"R","9308","bruin"
"A120","M",16,"L","2193","bruin"
"A120","M",16,"R","2193","bruin"
"A120","M",16,"L","5609","bruin"
"A120","M",16,"R","5609","bruin"
"A120","M",16,"L","8705","bruin"
"A120","M",16,"R","8705","bruin"
